title,price,rating
"Mechanical Gaming Keyboard RGB Backlit 105 Keys UK Layout Rollover, Red Switches Customizable Key with 12 LED RGB Color Modes, 7 Levels Brightness and Speed Adjustment, USB Wired for PC Gamers",£39.99,4.9 out of 5
"TECKNET Mechanical Gaming Keyboard UK Layout 105 Keys Blue Switch, RGB Wired Keyboard Full Anti-ghosting, 15 LED Backlit Modes for Gamers and Typists",£31.99,4.3 out of 5
"Newmen GM610 60% Gaming Keyboard Wired &Bluetooth Wireless Mechanical keyboard White & Grey,Anti-Ghosting with Extra Keycap Set,RGB Backlit,Programmable Upgradable,for Win/Mac/Android(Red switch)",£49.99,4.3 out of 5
"EPOMAKER TH66 65% Hot Swappable RGB 2.4Ghz/Bluetooth 5.0/Wired Mechanical Gaming Keyboard with MDA PBT Keycaps, 2200mAh Long-lasting Battery, Knob Control for Mac/Win",£76.99,4.5 out of 5
"RedThunder RT84 Retro Typewriter Keyboard, UK Layout, Bluetooth 5.0 Wireless Mechanical Keyboard, Multi Devices Connection for PC/MAC/Laptop/Tablet/Phone",£169.00,3.8 out of 5
HyperX Alloy Origins 60 – Mechanical Gaming Keyboard – Ultra Compact 60% Form Factor – HyperX Red Switch (Linear) – RGB LED Backlit – Side Printed Secondary Functions – NGENUITY Software Compatible,£73.52,4.7 out of 5
"Logitech G915 LIGHTSPEED TKL Tenkeyless Wireless Mechanical Gaming Keyboard with low profile GL-Tactile key switches, LIGHTSYNC RGB, Ultra thin design, 40+ hours battery life, QWERTY UK Layout - Black",£124.99,4.6 out of 5
"Portable 60% Gaming Mechanical Keyboard, Minimalist MK-Box Ice Blue Backlit Compact 68 Keys Wired Office Keyboard with Blue Switch for Windows Laptop PC Mac Convenient(Carbon White",£39.99,4.3 out of 5
"Logitech G413 SE Full-Size Mechanical Gaming Keyboard - Backlit Keyboard with Tactile Mechanical Switches, Anti-Ghosting, Compatible with Windows, macOS, QWERTY UK English Layout - Black",£69.99,4.4 out of 5
"Docooler MOTOSPEED K87S Mechanical Keyboard Gaming Keyboard Wired USB Customized LED RGB Backlit with 87 Keys Full Anti-ghosting Keys for Gaming, Programming",£27.99,4.5 out of 5
K3 Mechanical Keyboard Ultra-Compact Mini 98 Keys Wired Type C USB Apex Pro Kontrol Freek NKRO Water-resistant 10 Chroma RGB Illuminated LED Clicky Optical Linear Red Switch for PC/Mac Gamer Typist,£42.99,3.9 out of 5
"Rii Mechanical Gaming keyboard, RK908 60% Mechanical Keyboard(9 Backlight Modes) Blue Switches with 7 Color 88 Keys for PC Windows Mac keyboard-UK Layout",£19.99,4.4 out of 5
Corsair Gaming CH-9115020-UK K63 Cherry MX Red Backlit 10 Key-Less UK Mechanical Gaming Keyboard - Black,£74.99,4.5 out of 5
HyperX Alloy Origins – Mechanical Gaming Keyboard – Software–Controlled Light & Macro Customization – Compact Form Factor – Linear Switch – HyperX Red – RGB LED Backlit US QWERTY,£95.39,4.7 out of 5
